company_id,name,country,city,zip_code
2650,University of Illinois Urbana-Champaign,US,Champaign,61820
2651,Caltrans,US,Sacramento,95814
2652,County of San Diego,US,San Diego,92123
2654,CalPERS,US,Sacramento,95811
2666,California Department of Justice,US,Sacramento,95814
2669,Valeo,FR,Paris,75017
2677,McDonald's,US,Chicago,60607
2678,Cargill,US,Wayzata,55391
2690,John Hancock,US,Boston,2210
2691,Manulife,CA,Toronto,M4W
2701,Liberty Mutual Insurance,US,Boston,2116
2709,OpenText,CA,Waterloo,N2L 0A1
2722,KLA,US,Milpitas,95035
2723,BOMBARDIER,CA,Montréal,H3B 1Y8
2730,RR Donnelley,US,Chicago,60601
2739,Acxiom,US,Conway,72032
2743,IKEA,NL,Delft,2616
2748,Colgate-Palmolive,US,New York,10022
2751,Expedia Group,US,Seattle,98119
2753,Emerson,US,St. Louis,63136
2775,TD,CA,Toronto,M5K 1A2
2776,Andersen Corporation,US,Bayport,55003
2785,Federal Reserve Board,US,Washington,20551
2786,Federal Reserve Bank of San Francisco,US,San Francisco,94105
2790,Federal Reserve Bank of Boston,US,Boston,2210
2802,Sage,GB,Newcastle upon Tyne,NE13 9AA
2819,Publicis,US,New York,10019
2822,General Mills,US,Minneapolis,55426
2828,BlackBerry,CA,Waterloo,98008
2835,Mary Kay Global,US,Addison,0
2841,"University of California, Santa Cruz",US,Santa Cruz,95064-1011
2842,"University of California, Davis",US,Davis,95616
2844,UC Davis Health,US,Sacramento,95817
2848,Commonwealth Bank,AU,Sydney,2000
2859,BDO USA,US,Chicago,60611
2865,Visteon Corporation,US,Van Buren Township,48111
2868,Seagate Technology,US,Fremont,94538
2869,Canon Business Process Services,US,New York,10016
2882,ITT Inc.,US,Stamford,6902
2889,Aerotek,US,Hanover,21076
2895,Brigham and Women's Hospital,US,0,0
2896,Massachusetts General Hospital,US,Boston,2114
2897,Newton-Wellesley Hospital,US,Newton,2462
2905,NYC Department of Education,US,New York,10007
2911,Albertsons Companies,US,Boise,83706
2913,Shaw's Supermarkets,US,0,0
2915,Acme Markets,US,Malvern,19355
2918,The Save Mart Companies,US,Modesto,95350
2931,Teradyne,US,North Reading,1864
2934,S&P Global,US,New York,10041
2941,Teacher Retirement System of Texas,US,Austin,78701
